ident,group,tissue
CD33Low_A,CD33Low,Epi
CD33Low_B,CD33Low,Epi
EpiDC_A,EpiDC,Epi
EpiDC_B,EpiDC,Epi
EpiDC_C,EpiDC,Epi
LCs_A,LC,Epi
LCs_B,LC,Epi
LCs_C,LC,Epi
cDC2_A,cDC2LangN,Derm
cDC2_B,cDC2LangN,Derm
cDC2Lang_A,cDC2LangP,Derm
cDC2_C,cDC2LangN,Derm
cDC2Lang_B,cDC2LangP,Derm
cDC2Lang_C,cDC2LangP,Derm
cDC1_A,cDC1,Derm
cDC1_B2,cDC1,Derm
cDC1_C,cDC1,Derm
MDDC_A,MDDC,Derm
MDDC_B,MDDC,Derm
MDDC_C,MDDC,Derm
MDM_A,MDM,Derm
MDM_B,MDM,Derm
MDM_C,MDM,Derm
Mf_A,Mf,Derm
Mf_B,Mf,Derm
Mf_C,Mf,Derm
