Chromosome,UniqueID,Gene Symbol,Sum of Exon Length of Gene,CD33Low_A,CD33Low_B,EpiDC_A,EpiDC_B,EpiDC_C,LCs_A,LCs_B,LCs_C,cDC2_A,cDC2_B,cDC2Lang_A,cDC2_C,cDC2Lang_B,cDC2Lang_C,cDC1_A,cDC1_B2,cDC1_C,MDDC_A,MDDC_B,MDDC_C,MDM_A,MDM_B,MDM_C,Mf_A,Mf_B,Mf_C
chr1,36951_11184,Mar-01,2243,19.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37.0,0.0,63.0,0.0,0.0,4.0,0.0
chr4,36951_17142,Mar-01,5733,339.0,0.0,60.0,567.0,13.0,113.0,526.0,305.0,687.0,3191.0,619.0,160.0,2276.0,171.0,2538.0,1945.0,164.0,710.0,2776.0,79.0,1247.0,3130.0,760.0,237.0,2056.0,108.0
chr19,37316_9034,Mar-02,1651,23.0,0.0,10.0,435.0,2.0,209.0,591.0,265.0,190.0,791.0,13.0,14.0,504.0,264.0,0.0,5.0,227.0,520.0,674.0,659.0,112.0,430.0,215.0,206.0,1039.0,748.0
chr1,37316_11185,Mar-02,1573,0.0,0.0,0.0,28.0,0.0,188.0,968.0,506.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,43.0,0.0,8.0,71.0,0.0,1.0,0.0,86.0,143.0,136.0
chr10,AGAP9_30,AGAP9,2387,238.0,130.0,17.0,106.0,1.0,72.0,289.0,239.0,28.0,191.0,0.0,53.0,135.0,106.0,0.0,84.0,65.0,37.0,170.0,15.0,15.0,249.0,159.0,346.0,515.0,555.0
chr10,AGAP9_31,AGAP9,2387,233.0,130.0,6.0,104.0,2.0,72.0,282.0,233.0,28.0,186.0,0.0,54.0,135.0,95.0,0.0,80.0,60.0,37.0,164.0,15.0,9.0,236.0,159.0,342.0,505.0,543.0
chr15,AGSK1_4840,AGSK1,2559,78.0,1.0,117.0,53.0,45.0,185.0,770.0,1053.0,11.0,6.0,30.0,18.0,40.0,116.0,0.0,136.0,30.0,0.0,0.0,0.0,0.0,5.0,44.0,10.0,3.0,3.0
chr15,AGSK1_4841,AGSK1,5120,144.0,2.0,266.0,106.0,84.0,368.0,1556.0,2154.0,18.0,12.0,78.0,34.0,82.0,258.0,0.0,284.0,66.0,0.0,0.0,0.0,0.0,12.0,72.0,22.0,6.0,6.0
chrX,AKAP17A_24026,AKAP17A,3278,333.0,921.0,15.0,156.0,6.0,669.0,793.0,1263.0,226.0,371.0,25.0,733.0,545.0,2211.0,9.0,530.0,442.0,142.0,786.0,327.0,375.0,1074.0,651.0,566.0,754.0,595.0
chrY,AKAP17A_25088,AKAP17A,3278,333.0,921.0,15.0,156.0,6.0,669.0,793.0,1263.0,226.0,371.0,25.0,733.0,545.0,2211.0,9.0,530.0,442.0,142.0,786.0,327.0,375.0,1074.0,651.0,566.0,754.0,595.0
chr1,AMY1A_10071,AMY1A,3724,12.0,0.0,0.0,20.0,0.0,152.0,128.0,220.0,0.0,180.0,0.0,36.0,0.0,244.0,0.0,100.0,4.0,148.0,88.0,100.0,258.0,312.0,256.0,228.0,920.0,890.0
chr1,AMY1A_10072,AMY1A,3724,12.0,0.0,0.0,20.0,0.0,152.0,128.0,220.0,0.0,180.0,0.0,36.0,0.0,244.0,0.0,100.0,4.0,148.0,88.0,100.0,258.0,312.0,256.0,228.0,920.0,890.0
chr1,AMY1B_10073,AMY1B,3676,6.0,0.0,0.0,10.0,0.0,76.0,62.0,110.0,0.0,88.0,0.0,18.0,0.0,122.0,0.0,50.0,2.0,74.0,44.0,50.0,130.0,156.0,128.0,114.0,458.0,446.0
chr1,AMY1B_10074,AMY1B,1838,3.0,0.0,0.0,5.0,0.0,38.0,32.0,55.0,0.0,45.0,0.0,9.0,0.0,61.0,0.0,25.0,1.0,37.0,22.0,25.0,64.0,78.0,64.0,57.0,230.0,222.0
chr1,AMY1C_10075,AMY1C,3720,6.0,0.0,0.0,10.0,0.0,76.0,63.0,110.0,0.0,89.0,0.0,16.0,0.0,122.0,0.0,49.0,2.0,73.0,43.0,49.0,129.0,154.0,125.0,113.0,459.0,446.0
chr1,AMY1C_10076,AMY1C,1860,3.0,0.0,0.0,5.0,0.0,38.0,32.0,55.0,0.0,45.0,0.0,9.0,0.0,61.0,0.0,25.0,1.0,37.0,22.0,25.0,64.0,78.0,64.0,57.0,230.0,222.0
chr9,ANKRD20A2_23054,ANKRD20A2,3511,22.0,15.0,60.0,5.0,34.0,29.0,7.0,16.0,34.0,0.0,2.0,142.0,0.0,0.0,0.0,126.0,143.0,42.0,0.0,31.0,22.0,5.0,98.0,41.0,10.0,3.0
chr9,ANKRD20A2_23055,ANKRD20A2,3511,18.0,15.0,58.0,5.0,34.0,28.0,7.0,15.0,34.0,0.0,2.0,144.0,0.0,0.0,0.0,132.0,141.0,41.0,0.0,31.0,22.0,5.0,96.0,41.0,10.0,3.0
chr9,ANKRD20A3_23056,ANKRD20A3,7860,22.0,27.0,45.0,8.0,36.0,30.0,8.0,15.0,33.0,0.0,2.0,138.0,0.0,0.0,0.0,173.0,131.0,43.0,0.0,39.0,21.0,5.0,94.0,48.0,10.0,3.0
chr9,ANKRD20A3_23057,ANKRD20A3,3930,18.0,15.0,58.0,5.0,34.0,28.0,7.0,15.0,34.0,0.0,2.0,144.0,0.0,0.0,0.0,132.0,140.0,41.0,0.0,31.0,22.0,5.0,96.0,41.0,10.0,3.0
chr10,ANXA8_54,ANXA8,2176,1533.0,6595.0,0.0,322.0,0.0,72.0,552.0,87.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,4.0,1.0,0.0
chr10,ANXA8_55,ANXA8,2176,1458.0,6131.0,0.0,301.0,0.0,66.0,503.0,75.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,3.0,1.0,0.0
chr10,ANXA8L1_56,ANXA8L1,1954,1528.0,6595.0,1.0,322.0,0.0,71.0,553.0,88.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,4.0,2.0,0.0
chr10,ANXA8L1_57,ANXA8L1,1954,1458.0,6131.0,0.0,301.0,0.0,65.0,503.0,75.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,3.0,2.0,0.0
chrX,ASMT_24063,ASMT,1419,10.0,0.0,20.0,8.0,5.0,22.0,7.0,10.0,3.0,10.0,0.0,9.0,10.0,2.0,11.0,29.0,4.0,8.0,22.0,37.0,25.0,9.0,20.0,26.0,6.0,28.0
chrY,ASMT_25090,ASMT,1419,10.0,0.0,20.0,8.0,5.0,22.0,7.0,10.0,3.0,10.0,0.0,9.0,10.0,2.0,11.0,29.0,4.0,8.0,22.0,37.0,25.0,9.0,20.0,26.0,6.0,28.0
chrX,ASMTL_24065,ASMTL,2278,0.0,0.0,228.0,669.0,0.0,890.0,2244.0,2736.0,262.0,838.0,650.0,1079.0,206.0,2351.0,0.0,1.0,2030.0,405.0,297.0,296.0,516.0,381.0,711.0,121.0,635.0,318.0
chrY,ASMTL_25092,ASMTL,2278,0.0,0.0,228.0,669.0,0.0,890.0,2244.0,2736.0,262.0,838.0,650.0,1079.0,206.0,2351.0,0.0,1.0,2030.0,405.0,297.0,296.0,516.0,381.0,711.0,121.0,635.0,318.0
